Metoda,Dlugosc kroku,x0(1),x0(2),x(1),x(2),y*,f_calls,Minimum Globalne
Hooke-Jeeves,0.1,0.996702,-0.954685,0.774716,-0.774715,1.23967,164,NIE,
Hooke-Jeeves,0.1,-0.396383,0.893718,3.52324e-07,0.774716,0.619837,175,NIE,
Hooke-Jeeves,0.1,-0.911204,0.0571864,-0.774716,-4.66604e-07,0.619837,181,NIE,
Hooke-Jeeves,0.1,-0.611531,-0.578342,-0.774716,-0.774715,1.23967,174,NIE,
Hooke-Jeeves,0.1,0.654579,-0.353716,0.774716,-4.04902e-07,0.619837,161,NIE,
Hooke-Jeeves,0.1,-0.63506,0.757317,-0.774716,0.774715,1.23967,184,NIE,
Hooke-Jeeves,0.1,0.0219124,0.954544,-7.18795e-07,0.774716,0.619837,160,NIE,
Hooke-Jeeves,0.1,0.622291,0.242869,0.774715,-3.25214e-07,0.619837,180,NIE,
Hooke-Jeeves,0.1,0.557507,0.482911,0.774716,0.774716,1.23967,172,NIE,
Hooke-Jeeves,0.1,0.863199,0.229796,0.774715,5.58839e-07,0.619837,173,NIE,
Hooke-Jeeves,0.1,-0.339598,-0.239646,4.87047e-07,-4.40235e-07,1.37246e-11,168,TAK,
Hooke-Jeeves,0.1,-0.677857,-0.934949,-0.774716,-0.774715,1.23967,172,NIE,
Hooke-Jeeves,0.1,0.527209,-0.0125232,0.774716,-3.35939e-07,0.619837,170,NIE,
Hooke-Jeeves,0.1,-0.935435,0.279864,-0.774716,-6.86608e-07,0.619837,182,NIE,
Hooke-Jeeves,0.1,-0.365137,-0.278823,-2.83163e-07,6.32661e-07,1.52984e-11,171,TAK,
Hooke-Jeeves,0.1,-0.866228,-0.380831,-0.774716,-3.77637e-07,0.619837,200,NIE,
Hooke-Jeeves,0.1,-0.207126,0.555799,-3.27013e-07,0.774715,0.619837,175,NIE,
Hooke-Jeeves,0.1,0.84699,0.352552,0.774715,-5.05613e-07,0.619837,178,NIE,
Hooke-Jeeves,0.1,0.389763,-0.636556,0.774715,-0.774716,1.23967,186,NIE,
Hooke-Jeeves,0.1,-0.566239,-0.462502,-0.774715,-7.00837e-07,0.619837,195,NIE,
Hooke-Jeeves,0.1,-0.597549,-0.415754,-0.774716,-7.03171e-07,0.619837,175,NIE,
Hooke-Jeeves,0.1,0.409856,-0.908172,0.774715,-0.774716,1.23967,189,NIE,
Hooke-Jeeves,0.1,-0.663509,0.224788,-0.774716,-1.0493e-07,0.619837,157,NIE,
Hooke-Jeeves,0.1,-0.210368,-0.628988,7.65308e-08,-0.774716,0.619837,188,NIE,
Hooke-Jeeves,0.1,0.909007,0.859072,0.774716,0.774715,1.23967,159,NIE,
Hooke-Jeeves,0.1,-0.826276,-0.194409,-0.774716,4.79808e-07,0.619837,153,NIE,
Hooke-Jeeves,0.5,-0.608398,-0.0878704,0.774716,-7.79994e-07,0.619837,193,NIE,
Hooke-Jeeves,0.5,-0.890205,0.333249,-0.774715,0.774716,1.23967,180,NIE,
Hooke-Jeeves,0.5,0.708088,0.71719,0.774715,0.774716,1.23967,169,NIE,
Hooke-Jeeves,0.5,0.820941,-0.118907,0.774716,6.95679e-07,0.619837,202,NIE,
Hooke-Jeeves,0.5,0.117288,-0.796533,-4.39133e-07,-0.774716,0.619837,186,NIE,
Hooke-Jeeves,0.5,-0.379134,0.931251,-7.78115e-07,0.774715,0.619837,193,NIE,
Hooke-Jeeves,0.5,-0.448561,-0.294357,-5.12224e-07,1.5484,2.47854,228,NIE,
Hooke-Jeeves,0.5,-0.849061,-0.141625,-0.774717,0.774715,1.23967,204,NIE,
Hooke-Jeeves,0.5,0.927307,-0.378492,0.774715,-3.10145e-08,0.619837,170,NIE,
Hooke-Jeeves,0.5,0.71408,-0.619127,0.774717,0.774716,1.23967,200,NIE,
Hooke-Jeeves,0.5,0.620759,-0.33413,-6.92959e-07,-7.78629e-07,3.45954e-11,199,TAK,
Hooke-Jeeves,0.5,0.0401417,0.318072,-3.63305e-07,0.774716,0.619837,190,NIE,
Hooke-Jeeves,0.5,-0.302513,-0.768982,1.54839,-0.774715,3.09838,205,NIE,
Hooke-Jeeves,0.5,0.449669,0.952983,0.774715,0.774715,1.23967,207,NIE,
Hooke-Jeeves,0.5,0.930613,0.769271,0.774716,0.774715,1.23967,178,NIE,
Hooke-Jeeves,0.5,0.339089,0.719993,0.774716,0.774715,1.23967,161,NIE,
Hooke-Jeeves,0.5,0.804188,0.415647,0.774715,0.774715,1.23967,177,NIE,
Hooke-Jeeves,0.5,-0.332662,0.00840665,7.89472e-07,-9.45392e-07,4.8306e-11,206,TAK,
Hooke-Jeeves,0.5,-0.305666,0.079419,1.54839,8.00194e-07,2.47854,201,NIE,
Hooke-Jeeves,0.5,-0.662023,0.54886,0.774716,9.05657e-07,0.619837,169,NIE,
Hooke-Jeeves,0.5,-0.803705,-0.413427,-0.774715,8.3265e-07,0.619837,199,NIE,
Hooke-Jeeves,0.5,0.988718,-0.905941,0.774715,0.774715,1.23967,188,NIE,
Hooke-Jeeves,0.5,0.134629,0.239803,5.47684e-07,0.774715,0.619837,172,NIE,
Hooke-Jeeves,0.5,-0.550895,-0.578422,0.774716,0.774716,1.23967,186,NIE,
Hooke-Jeeves,0.5,-0.99096,0.155975,-7.80039e-07,-6.24378e-07,3.17886e-11,177,TAK,
Hooke-Jeeves,0.5,-0.00271509,0.142017,-9.33172e-07,-7.74855e-07,4.6847e-11,195,TAK,
Hooke-Jeeves,0.5,0.0690662,0.213744,-7.99677e-07,1.5484,2.47854,203,NIE,
Hooke-Jeeves,0.5,-0.769433,-0.447166,-0.774716,6.60824e-07,0.619837,185,NIE,
Hooke-Jeeves,0.5,0.625685,-0.961516,5.82673e-07,8.40588e-07,3.33102e-11,192,TAK,
Hooke-Jeeves,0.5,0.338798,0.701375,0.774715,0.774715,1.23967,185,NIE,
Hooke-Jeeves,0.5,-0.846813,0.281778,-0.774716,0.774715,1.23967,186,NIE,
Hooke-Jeeves,0.5,-0.138101,-0.514567,0.774716,0.774715,1.23967,195,NIE,
Hooke-Jeeves,0.5,-0.633198,-0.210273,0.774716,-0.774715,1.23967,167,NIE,
Hooke-Jeeves,0.5,-0.704875,0.725281,-0.774716,0.774716,1.23967,187,NIE,
Hooke-Jeeves,0.5,-0.524648,-0.357168,0.774716,-2.20175e-07,0.619837,188,NIE,
Hooke-Jeeves,0.5,0.272186,0.971819,0.774716,0.774716,1.23967,208,NIE,
Hooke-Jeeves,0.5,0.697166,-0.630359,0.774715,0.774716,1.23967,192,NIE,
Hooke-Jeeves,0.5,0.834958,-0.505082,0.774716,0.774716,1.23967,178,NIE,
Hooke-Jeeves,0.5,0.736711,-0.379748,0.774716,-2.23123e-07,0.619837,200,NIE,
Hooke-Jeeves,0.5,-0.100089,0.461166,7.18157e-07,0.774715,0.619837,186,NIE,
Hooke-Jeeves,0.5,-0.796468,0.36114,-0.774717,0.774716,1.23967,170,NIE,
Hooke-Jeeves,0.5,-0.733869,0.914907,-0.774715,0.774715,1.23967,186,NIE,
Hooke-Jeeves,0.5,0.242758,0.900582,0.774716,0.774716,1.23967,188,NIE,
Hooke-Jeeves,0.5,-0.954376,0.326233,0.774715,0.774716,1.23967,214,NIE,
Hooke-Jeeves,0.5,0.976835,0.82966,0.774715,0.774715,1.23967,171,NIE,
Hooke-Jeeves,0.5,0.213525,-0.397212,1.54839,8.95758e-07,2.47854,197,NIE,
Hooke-Jeeves,0.5,-0.480749,0.91193,-3.67094e-07,0.774716,0.619837,177,NIE,
Hooke-Jeeves,0.5,-0.902619,-0.33114,0.774716,3.53405e-07,0.619837,215,NIE,
Hooke-Jeeves,0.5,0.2059,0.732434,1.5484,0.774716,3.09838,197,NIE,
Hooke-Jeeves,0.5,0.538538,-0.924473,-2.69474e-07,0.774715,0.619837,189,NIE,
Hooke-Jeeves,0.5,0.533914,-0.385104,-2.21618e-07,-9.27531e-07,2.89584e-11,206,TAK,
Hooke-Jeeves,0.5,0.930465,0.188214,0.774715,1.5484,3.09838,175,NIE,
Hooke-Jeeves,0.5,0.666453,0.467959,8.1791e-07,0.774716,0.619837,197,NIE,
Hooke-Jeeves,0.5,-0.534715,-0.649688,0.774716,0.774716,1.23967,204,NIE,
Hooke-Jeeves,0.5,0.314921,0.11493,0.774716,7.74738e-07,0.619837,200,NIE,
Hooke-Jeeves,0.5,0.792293,-0.568436,0.774715,0.774715,1.23967,179,NIE,
Hooke-Jeeves,0.5,-0.97426,-0.358042,2.08018e-07,-6.82348e-07,1.62035e-11,212,TAK,
Hooke-Jeeves,0.5,0.161016,0.348801,-6.74838e-07,0.774716,0.619837,190,NIE,
Hooke-Jeeves,0.5,0.764759,-0.666225,0.774715,0.774716,1.23967,182,NIE,
Hooke-Jeeves,0.5,-0.873897,0.378905,-0.774717,0.774716,1.23967,173,NIE,
Hooke-Jeeves,0.5,0.934368,0.743047,0.774716,0.774715,1.23967,177,NIE,
Hooke-Jeeves,0.5,-0.941179,0.0994102,0.774715,-7.81187e-07,0.619837,198,NIE,
Hooke-Jeeves,0.5,0.240324,0.964144,0.774715,0.774716,1.23967,170,NIE,
Hooke-Jeeves,0.5,0.259192,0.703155,0.774716,0.774715,1.23967,194,NIE,
Hooke-Jeeves,0.5,-0.984729,0.754083,5.08319e-07,0.774715,0.619837,184,NIE,
Hooke-Jeeves,0.5,-0.784276,-0.121167,-0.774716,8.08843e-07,0.619837,179,NIE,
Hooke-Jeeves,0.5,-0.0145756,0.372696,3.18722e-07,0.774715,0.619837,193,NIE,
Hooke-Jeeves,0.5,-0.796803,-0.624457,-0.774716,0.774716,1.23967,177,NIE,
Hooke-Jeeves,0.5,0.158915,0.699129,7.51709e-07,0.774715,0.619837,195,NIE,
Hooke-Jeeves,0.5,0.96898,-0.064934,0.774715,-2.41697e-07,0.619837,186,NIE,
Hooke-Jeeves,0.5,0.320554,0.588809,0.774717,4.44605e-07,0.619837,167,NIE,
Hooke-Jeeves,0.5,0.304288,0.2583,0.774716,0.774716,1.23967,161,NIE,
Hooke-Jeeves,0.5,0.923528,-0.835333,0.774715,-0.774715,1.23967,169,NIE,
Hooke-Jeeves,0.5,-0.272269,-0.397987,1.5484,3.19432e-07,2.47854,196,NIE,
Hooke-Jeeves,0.5,0.620697,0.52493,4.39894e-07,6.91542e-07,2.13898e-11,153,TAK,
Hooke-Jeeves,0.5,-0.17605,0.691534,0.774716,0.774716,1.23967,218,NIE,
Hooke-Jeeves,0.5,-0.0864103,0.595007,1.87771e-07,-2.57624e-07,3.23608e-12,193,TAK,
Hooke-Jeeves,0.5,-0.177147,0.977801,0.774715,0.774716,1.23967,189,NIE,
Hooke-Jeeves,0.5,0.32832,0.490277,0.774716,0.774717,1.23967,185,NIE,
Hooke-Jeeves,0.5,0.604109,0.667094,-1.90747e-07,9.35547e-07,2.90288e-11,201,TAK,
Hooke-Jeeves,0.5,0.404975,0.0979905,0.774717,5.0583e-07,0.619837,207,NIE,
Hooke-Jeeves,0.5,0.68275,-0.844238,0.774715,-0.774715,1.23967,161,NIE,
Hooke-Jeeves,0.5,0.366224,0.381068,0.774715,0.774716,1.23967,191,NIE,
Hooke-Jeeves,0.5,-0.996006,0.24977,-3.58032e-07,0.774716,0.619837,192,NIE,
Hooke-Jeeves,0.5,-0.184512,0.722928,-0.774716,0.774716,1.23967,195,NIE,
Hooke-Jeeves,0.5,-0.0861271,-0.3926,-7.55985e-07,-4.98061e-07,2.60973e-11,185,TAK,
Hooke-Jeeves,0.5,0.825691,-0.681195,0.774715,-0.774716,1.23967,162,NIE,
Hooke-Jeeves,0.5,0.980763,-0.962422,0.774716,-5.38471e-07,0.619837,182,NIE,
Hooke-Jeeves,0.5,0.463511,0.538097,0.774716,5.90792e-08,0.619837,185,NIE,
Hooke-Jeeves,0.5,0.31389,-0.384398,0.774715,-9.45825e-07,0.619837,176,NIE,
Hooke-Jeeves,0.5,-0.90043,-0.234877,0.774717,-0.774716,1.23967,225,NIE,
Hooke-Jeeves,0.5,-0.821493,-0.681206,-0.774715,-0.774716,1.23967,155,NIE,
Hooke-Jeeves,0.5,-0.630703,-0.663486,0.774716,0.774716,1.23967,158,NIE,
Hooke-Jeeves,0.5,-0.246829,0.547088,-0.774716,-8.188e-07,0.619837,171,NIE,
Hooke-Jeeves,0.5,-0.268811,-0.599739,0.774717,0.774716,1.23967,192,NIE,
Hooke-Jeeves,0.5,0.59021,0.251492,-4.21657e-07,0.774715,0.619837,170,NIE,
Hooke-Jeeves,0.5,-0.156331,-0.766365,0.774717,-0.774715,1.23967,200,NIE,
Hooke-Jeeves,0.5,-0.56837,-0.392024,0.774716,9.49243e-07,0.619837,180,NIE,
Hooke-Jeeves,0.5,-0.854133,-0.941638,-0.774717,0.774716,1.23967,221,NIE,
Hooke-Jeeves,0.5,-0.299343,-0.46459,1.54839,-2.22342e-07,2.47854,194,NIE,
Hooke-Jeeves,1,0.102298,0.846078,-4.40078e-07,0.774717,0.619837,195,NIE,
Hooke-Jeeves,1,-0.206976,0.340044,0.774715,0.774715,1.23967,210,NIE,
Hooke-Jeeves,1,0.043497,-0.20361,-1.27441e-07,0.774715,0.619837,197,NIE,
Hooke-Jeeves,1,-0.974572,0.393197,-6.13669e-07,0.774716,0.619837,204,NIE,
Hooke-Jeeves,1,-0.322189,0.544154,2.0594e-08,4.08878e-07,5.33706e-12,227,TAK,
Hooke-Jeeves,1,-0.140546,-0.631714,0.774716,0.774716,1.23967,220,NIE,
Hooke-Jeeves,1,0.0206618,0.896725,-5.4972e-07,1.52957e-07,1.03677e-11,188,TAK,
Hooke-Jeeves,1,-0.654939,-0.869293,0.774716,-1.51413e-07,0.619837,196,NIE,
Hooke-Jeeves,1,0.766287,-0.989078,0.774715,1.19464e-07,0.619837,177,NIE,
Hooke-Jeeves,1,0.184129,-0.697094,-0.774717,-0.774715,1.23967,206,NIE,
Hooke-Jeeves,1,0.304989,-0.514187,-0.774716,0.774716,1.23967,196,NIE,
Hooke-Jeeves,1,-0.419918,-0.187577,5.44421e-07,0.774716,0.619837,299,NIE,
Hooke-Jeeves,1,0.769238,0.21631,0.774716,-0.774716,1.23967,191,NIE,
Hooke-Jeeves,1,0.734517,-0.787812,0.774715,-0.774716,1.23967,194,NIE,
Hooke-Jeeves,1,-0.0992701,0.863792,-1.84652e-07,0.774715,0.619837,209,NIE,
Hooke-Jeeves,1,-0.934137,-0.576421,6.46063e-07,0.774716,0.619837,188,NIE,
Hooke-Jeeves,1,0.409047,0.52586,0.774716,3.00075e-07,0.619837,196,NIE,
Hooke-Jeeves,1,-0.541167,0.610208,0.774715,-4.39116e-07,0.619837,202,NIE,
Hooke-Jeeves,1,0.100145,0.341605,-1.39378e-07,0.774716,0.619837,196,NIE,
Hooke-Jeeves,1,-0.0793997,0.50049,-6.27636e-07,6.61236e-08,1.2683e-11,183,TAK,
Hooke-Jeeves,1,-0.581394,-0.0390907,0.774715,3.67477e-07,0.619837,205,NIE,
Hooke-Jeeves,1,-0.292338,0.783073,0.774715,0.774715,1.23967,196,NIE,
Hooke-Jeeves,1,0.566983,0.991935,4.51933e-07,8.91389e-07,3.18048e-11,215,TAK,
Hooke-Jeeves,1,-0.390192,-0.726687,7.53363e-08,-0.774716,0.619837,181,NIE,
Hooke-Jeeves,1,0.634228,0.818785,7.22139e-07,0.774716,0.619837,214,NIE,
Hooke-Jeeves,1,-0.680174,0.443807,-0.774716,0.774715,1.23967,203,NIE,
Hooke-Jeeves,1,0.507774,0.0433214,-8.59513e-08,-1.65951e-07,1.11222e-12,192,TAK,
Hooke-Jeeves,1,0.551639,0.949473,8.99311e-07,6.16506e-07,3.78557e-11,188,TAK,
Hooke-Jeeves,1,0.0979275,-0.688249,4.55409e-07,-0.774717,0.619837,179,NIE,
Hooke-Jeeves,1,-0.766594,0.535694,-0.774715,-5.21946e-07,0.619837,189,NIE,
Hooke-Jeeves,1,0.269195,-0.538151,-0.774716,0.774715,1.23967,191,NIE,
Hooke-Jeeves,1,-0.142373,0.548903,0.774716,1.44958e-07,0.619837,394,NIE,
Hooke-Jeeves,1,0.688171,0.754605,0.774716,0.774716,1.23967,180,NIE,
Hooke-Jeeves,1,0.94263,0.635079,9.52179e-07,6.47658e-07,4.22264e-11,220,TAK,
Hooke-Jeeves,1,-0.202556,-0.446161,0.774716,7.44314e-07,0.619837,179,NIE,
Hooke-Jeeves,1,-0.274146,0.81639,0.774715,0.774716,1.23967,212,NIE,
Hooke-Jeeves,1,-0.686685,0.26034,-0.774715,-0.774717,1.23967,187,NIE,
Hooke-Jeeves,1,-0.0524238,0.919501,-3.32731e-07,1.86723e-07,4.6354e-12,192,TAK,
Hooke-Jeeves,1,0.209929,-0.337051,-0.774715,8.39892e-07,0.619837,223,NIE,
Hooke-Jeeves,1,0.500355,-0.491709,-4.48022e-08,-2.63066e-07,2.26752e-12,230,TAK,
Hooke-Jeeves,1,0.61269,-0.326327,-5.44052e-08,-7.87665e-07,1.98499e-11,326,TAK,
Hooke-Jeeves,1,-0.966711,-0.306307,8.93144e-08,0.774716,0.619837,300,NIE,
Hooke-Jeeves,1,-0.714816,0.108076,-0.774716,1.14246e-07,0.619837,193,NIE,
Hooke-Jeeves,1,0.418219,-0.775035,0.774716,-0.774715,1.23967,214,NIE,
Hooke-Jeeves,1,0.174584,-0.507013,-0.774715,0.774716,1.23967,196,NIE,
Hooke-Jeeves,1,-0.0549201,-0.59443,8.64026e-08,0.774716,0.619837,174,NIE,
Hooke-Jeeves,1,0.471558,0.40269,0.774716,0.774715,1.23967,203,NIE,
Hooke-Jeeves,1,0.754323,0.699502,0.774715,0.774717,1.23967,190,NIE,
Hooke-Jeeves,1,0.684189,-0.676997,0.774716,0.774716,1.23967,199,NIE,
Hooke-Jeeves,1,0.830313,0.552745,0.774716,-7.64945e-07,0.619837,174,NIE,
Hooke-Jeeves,1,-0.95177,-0.405467,9.16363e-07,8.26122e-07,4.84706e-11,337,TAK,
Hooke-Jeeves,1,-0.0781591,0.546011,1.83953e-07,-2.85461e-07,3.6724e-12,181,TAK,
Hooke-Jeeves,1,-0.502394,-0.447339,4.36913e-09,8.59293e-07,2.35127e-11,178,TAK,
Hooke-Jeeves,1,0.193034,0.412516,-0.774716,0.774716,1.23967,196,NIE,
Hooke-Jeeves,1,-0.963134,-0.928372,0.0368659,0.0716284,0.202227,1003,NIE,
Hooke-Jeeves,1,-0.123898,-0.77789,-6.16711e-07,-0.774716,0.619837,143,NIE,
Hooke-Jeeves,1,0.507571,0.943446,6.843e-07,-7.00903e-07,3.0554e-11,175,TAK,
Hooke-Jeeves,1,0.645049,-0.394182,6.9125e-07,3.26084e-07,1.86011e-11,193,TAK,
Hooke-Jeeves,1,-0.54055,0.842348,0.774716,0.774715,1.23967,222,NIE,
Hooke-Jeeves,1,-0.0620351,-0.319126,-4.83601e-07,0.774716,0.619837,151,NIE,
Hooke-Jeeves,1,-0.794205,0.949143,-0.774716,1.8073e-07,0.619837,173,NIE,
Hooke-Jeeves,1,0.858815,-0.34685,0.774717,8.66654e-07,0.619837,219,NIE,
Hooke-Jeeves,1,-0.686256,-0.710879,-0.774717,-0.774716,1.23967,200,NIE,
Hooke-Jeeves,1,0.220295,-0.447778,-0.774715,6.99947e-07,0.619837,187,NIE,
Hooke-Jeeves,1,-0.851138,-0.459226,9.28095e-07,2.95707e-07,3.02123e-11,197,TAK,
Hooke-Jeeves,1,0.559866,0.536267,-5.76324e-08,3.03208e-07,3.03313e-12,193,TAK,
Hooke-Jeeves,1,-0.755162,0.167824,-0.774716,-0.774715,1.23967,197,NIE,
Hooke-Jeeves,1,0.0505219,0.607792,4.35138e-08,3.66681e-07,4.34164e-12,183,TAK,
Hooke-Jeeves,1,0.985718,-0.140624,6.42057e-07,0.774716,0.619837,204,NIE,
