Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Rosenbrock;0.1;-0.265102;-0.553314;-0.065104;-0.653313;35;1,15237; ;NIE
Rosenbrock;0.1;-0.314271;-0.244396;-0.114273;-0.0443978;35;0,451643; ;NIE
Rosenbrock;0.1;0.876527;-0.487619;0.777743;-0.771675;39;1,24025; ;NIE
Rosenbrock;0.1;0.695748;0.679323;0.774717;0.774716;139;1,23967; ;NIE
Rosenbrock;0.1;0.236226;0.676824;3.60281e-07;0.774716;109;0,619837; ;NIE
Rosenbrock;0.1;0.28221;-0.799627;-1.0997e-06;-0.774716;109;0,619837; ;NIE
Rosenbrock;0.1;-0.498618;0.029973;-0.774715;-5.78347e-07;159;0,619837; ;NIE
Rosenbrock;0.1;0.807609;0.941276;0.774716;0.774716;109;1,23967; ;NIE
Rosenbrock;0.1;0.378037;0.632728;0.578035;0.774714;35;2,12562; ;NIE
Rosenbrock;0.1;-0.426616;-0.607735;-0.226618;-0.707733;35;2,01106; ;NIE
Rosenbrock;0.1;-0.0488856;0.651614;1.4427e-06;0.774716;147;0,619837; ;NIE
Rosenbrock;0.1;0.92539;-0.199988;0.774716;-6.42008e-07;135;0,619837; ;NIE
Rosenbrock;0.1;0.659218;-0.0131461;0.774716;-2.26189e-07;183;0,619837; ;NIE
Rosenbrock;0.1;0.857634;-0.21798;0.774716;-0.0179819;35;0,630117; ;NIE
Rosenbrock;0.1;-0.166481;0.14021;3.31315e-07;-6.17219e-07;205;1,56259e-11; ;NIE
Rosenbrock;0.1;0.777429;-0.635052;0.774717;-0.774714;133;1,23967; ;NIE
Rosenbrock;0.1;-0.584412;0.817944;-0.774715;0.774716;115;1,23967; ;NIE
Rosenbrock;0.1;0.287507;-0.855796;3.28393e-07;-0.774716;179;0,619837; ;NIE
Rosenbrock;0.1;-0.0136607;0.868329;1.19253e-06;0.774715;161;0,619837; ;NIE
Rosenbrock;0.1;0.360223;0.51186;0.260224;0.711859;35;2,26021; ;NIE
Rosenbrock;0.1;0.68928;0.570531;0.774714;0.77053;35;1,24022; ;NIE
Rosenbrock;0.1;0.0145379;0.115878;-2.5987e-07;-2.49387e-07;197;4,13092e-12; ;NIE
Rosenbrock;0.1;-0.64384;-0.286631;-0.743838;-0.086633;35;0,879203; ;NIE
Rosenbrock;0.1;0.683828;-0.832439;0.774717;-0.774715;117;1,23967; ;NIE
Rosenbrock;0.1;-0.00851912;-0.550856;1.22763e-06;-0.774716;127;0,619837; ;NIE
Rosenbrock;0.1;-0.204641;-0.542141;-0.00464265;-0.64214;35;1,08808; ;NIE
Rosenbrock;0.1;-0.434605;0.0519197;-0.234606;1.94224e-07;35;1,3235; ;NIE
Rosenbrock;0.1;0.00421113;-0.806491;9.59305e-07;-0.774715;143;0,619837; ;NIE
Rosenbrock;0.1;0.931629;0.968007;0.774715;0.774716;83;1,23967; ;NIE
Rosenbrock;0.1;-0.974454;0.0101419;-0.774716;5.44827e-07;151;0,619837; ;NIE
Rosenbrock;0.1;0.305845;0.579633;-4.47149e-07;0.774716;153;0,619837; ;NIE
Rosenbrock;0.1;0.391305;-0.927358;0.591304;-0.774716;35;2,03773; ;NIE
Rosenbrock;0.1;0.736505;-0.207782;0.774716;-0.00778395;35;0,621766; ;NIE
Rosenbrock;0.1;0.306185;-0.74735;-2.28818e-07;-0.774715;177;0,619837; ;NIE
Rosenbrock;0.1;0.78557;-0.922944;0.774715;-0.774716;169;1,23967; ;NIE
Rosenbrock;0.1;0.0762964;0.690151;-8.06996e-07;0.774715;123;0,619837; ;NIE
Rosenbrock;0.5;0.842735;0.253422;0.774717;0.774716;205;1,23967; ;NIE
Rosenbrock;0.5;0.838718;-0.592138;0.774715;5.29868e-07;155;0,619837; ;NIE
Rosenbrock;0.5;0.458867;-0.32274;0.774715;-3.36049e-08;147;0,619837; ;NIE
Rosenbrock;0.5;0.915802;-0.800278;0.774717;-0.774716;155;1,23967; ;NIE
Rosenbrock;0.5;-0.455629;-0.576867;3.8534e-07;7.28339e-07;199;2,162e-11; ;NIE
Rosenbrock;0.5;-0.624595;0.375616;-3.09639e-07;0.774717;167;0,619837; ;NIE
Rosenbrock;0.5;-0.469353;0.355403;-1.95875e-06;0.774716;197;0,619837; ;NIE
Rosenbrock;0.5;0.63345;0.267986;0.774715;0.774716;177;1,23967; ;NIE
Rosenbrock;0.5;-0.548503;0.118405;-4.61451e-07;-5.45001e-07;233;1,62386e-11; ;NIE
Rosenbrock;0.5;-0.774982;0.820536;-0.774716;0.774715;189;1,23967; ;NIE
Rosenbrock;0.5;0.106478;0.959707;5.83794e-07;0.774716;193;0,619837; ;NIE
Rosenbrock;0.5;0.689009;-0.309;0.774714;-7.75141e-07;219;0,619837; ;NIE
Rosenbrock;0.5;0.527117;-0.396418;1.69159e-06;0.774716;233;0,619837; ;NIE
Rosenbrock;0.5;0.868439;-0.933817;0.774716;-0.774714;117;1,23967; ;NIE
Rosenbrock;0.5;-0.427356;-0.253355;6.72748e-07;1.86784e-07;231;1,55225e-11; ;NIE
Rosenbrock;0.5;-0.826454;0.479021;-0.774715;0.774715;197;1,23967; ;NIE
Rosenbrock;0.5;-0.972797;0.482451;-0.774717;0.774716;211;1,23967; ;NIE
Rosenbrock;0.5;-0.234925;0.346947;1.12082e-06;0.774716;167;0,619837; ;NIE
Rosenbrock;0.5;-0.776146;-0.273177;-0.774714;8.0363e-07;143;0,619837; ;NIE
Rosenbrock;0.5;0.954402;-0.702899;0.774716;-0.774717;151;1,23967; ;NIE
Rosenbrock;0.5;0.271561;0.36313;0.774715;0.774717;155;1,23967; ;NIE
Rosenbrock;0.5;0.229942;-0.751518;0.774715;-0.774716;175;1,23967; ;NIE
Rosenbrock;0.5;-0.725056;-0.743168;-0.774716;-0.774716;189;1,23967; ;NIE
Rosenbrock;0.5;-0.428732;0.00823151;-6.83271e-07;1.59695e-07;175;1,56781e-11; ;NIE
Rosenbrock;0.5;-0.330228;0.336959;-5.30014e-07;0.774717;243;0,619837; ;NIE
Rosenbrock;0.5;0.345814;-0.321379;0.774717;-1.25044e-06;217;0,619837; ;NIE
Rosenbrock;0.5;-0.448494;0.979312;1.72212e-06;0.774717;233;0,619837; ;NIE
Rosenbrock;0.5;0.840299;-0.47717;0.774716;-5.30953e-07;217;0,619837; ;NIE
Rosenbrock;0.5;0.335214;0.907063;0.774715;0.774715;223;1,23967; ;NIE
Rosenbrock;0.5;-0.0645202;-0.870563;5.0438e-08;-0.774715;139;0,619837; ;NIE
Rosenbrock;0.5;0.912569;-0.689764;0.774716;-0.774716;131;1,23967; ;NIE
Rosenbrock;0.5;0.33765;-0.467228;0.774715;9.08192e-07;191;0,619837; ;NIE
Rosenbrock;0.5;-0.183097;-0.0464529;-9.07166e-07;-8.27865e-07;89;4,80282e-11; ;NIE
Rosenbrock;0.5;0.848944;0.609995;0.774716;0.774716;201;1,23967; ;NIE
Rosenbrock;0.5;-0.550391;-0.178754;-7.20168e-07;1.43436e-06;149;8,20273e-11; ;NIE
Rosenbrock;0.5;0.460409;-0.586517;0.774714;1.41547e-06;203;0,619837; ;NIE
Rosenbrock;0.5;-0.519423;-0.645229;5.32008e-07;-5.76396e-07;117;1,95917e-11; ;NIE
Rosenbrock;0.5;0.366251;-0.893911;0.774716;-0.774718;241;1,23967; ;NIE
Rosenbrock;0.5;0.519806;0.884362;6.51278e-07;0.774717;153;0,619837; ;NIE
Rosenbrock;0.5;0.195319;0.144954;0.774715;7.00979e-07;141;0,619837; ;NIE
Rosenbrock;0.5;-0.637688;-0.339736;-1.08098e-06;-6.33412e-07;137;4,9984e-11; ;NIE
Rosenbrock;0.5;0.935822;-0.00233157;0.774717;6.2606e-07;141;0,619837; ;NIE
Rosenbrock;0.5;0.51064;0.78435;1.78175e-06;0.774716;163;0,619837; ;NIE
Rosenbrock;0.5;0.926967;0.806532;0.774715;0.774715;159;1,23967; ;NIE
Rosenbrock;0.5;0.513031;-0.751101;-1.1283e-08;-0.774715;157;0,619837; ;NIE
Rosenbrock;0.5;-0.179332;-0.429832;-2.35654e-07;-6.65591e-07;181;1,58749e-11; ;NIE
Rosenbrock;0.5;0.637356;0.815581;0.774715;0.774715;193;1,23967; ;NIE
Rosenbrock;0.5;-0.825787;-0.190127;-0.774716;-5.84748e-07;197;0,619837; ;NIE
Rosenbrock;0.5;0.560253;0.543321;0.774717;0.774716;161;1,23967; ;NIE
Rosenbrock;0.5;-0.442195;-0.905883;-1.89479e-07;-0.774716;157;0,619837; ;NIE
Rosenbrock;0.5;-0.852141;-0.253735;-0.774713;7.87594e-07;141;0,619837; ;NIE
Rosenbrock;0.5;0.313812;0.41729;0.774716;0.774715;197;1,23967; ;NIE
Rosenbrock;0.5;-0.594073;0.286033;-7.09123e-07;0.774716;187;0,619837; ;NIE
Rosenbrock;0.5;0.271108;0.818993;0.774715;0.774717;149;1,23967; ;NIE
Rosenbrock;0.5;-0.633471;0.894912;4.98924e-07;0.774716;187;0,619837; ;NIE
Rosenbrock;0.5;0.86282;0.405365;0.774718;0.774717;125;1,23967; ;NIE
Rosenbrock;0.5;-0.204803;0.473056;6.81893e-07;0.774715;241;0,619837; ;NIE
Rosenbrock;0.5;0.883017;0.644821;0.774717;0.774716;183;1,23967; ;NIE
Rosenbrock;0.5;0.78658;-0.868216;0.774715;-0.774715;185;1,23967; ;NIE
Rosenbrock;0.5;-0.178002;0.828281;-8.05824e-07;0.774716;177;0,619837; ;NIE
Rosenbrock;0.5;0.326732;-0.160955;0.774716;2.01835e-08;205;0,619837; ;NIE
Rosenbrock;0.5;-0.794421;-0.991286;-0.774716;-0.774717;135;1,23967; ;NIE
Rosenbrock;0.5;-0.568709;0.543713;2.67849e-07;0.774715;191;0,619837; ;NIE
Rosenbrock;0.5;-0.155627;-0.5539;-1.74409e-06;7.39225e-07;185;1,14261e-10; ;NIE
Rosenbrock;0.5;0.213541;-0.0816693;0.774717;-4.40161e-07;125;0,619837; ;NIE
Rosenbrock;0.5;0.623464;0.720421;0.774715;0.774715;211;1,23967; ;NIE
Rosenbrock;0.5;-0.848322;-0.675996;-0.774716;2.17561e-07;139;0,619837; ;NIE
Rosenbrock;0.5;0.413823;0.857456;0.774715;0.774715;145;1,23967; ;NIE
Rosenbrock;0.5;-0.499891;-0.84886;-4.73935e-07;-0.774715;115;0,619837; ;NIE
Rosenbrock;0.5;-0.67978;0.269839;8.3167e-07;0.774716;235;0,619837; ;NIE
Rosenbrock;0.5;-0.324901;-0.567527;-4.59784e-08;-9.09933e-07;187;2,64322e-11; ;NIE
Rosenbrock;0.5;0.125343;0.964261;1.53818e-06;0.774714;169;0,619837; ;NIE
Rosenbrock;0.5;-0.499614;-0.156056;-1.17721e-06;1.32244e-06;153;9,98153e-11; ;NIE
Rosenbrock;0.5;0.596337;0.454494;0.774715;0.774716;199;1,23967; ;NIE
Rosenbrock;0.5;-0.0449282;-0.246878;1.55663e-06;-6.01211e-07;139;8,86673e-11; ;NIE
Rosenbrock;0.5;-0.824728;-0.524363;-0.774715;-1.62186e-06;171;0,619837; ;NIE
Rosenbrock;0.5;-0.0449222;-0.0396996;3.22573e-07;-7.94142e-07;231;2,33951e-11; ;NIE
Rosenbrock;0.5;-0.56901;0.323152;-6.24654e-07;0.774716;153;0,619837; ;NIE
Rosenbrock;0.5;0.306543;-0.0382838;0.774715;-5.14926e-07;109;0,619837; ;NIE
Rosenbrock;0.5;-0.976735;-0.0521001;-0.774715;-6.62939e-07;137;0,619837; ;NIE
Rosenbrock;0.5;0.428933;-0.0120513;0.774715;5.57449e-07;133;0,619837; ;NIE
Rosenbrock;0.5;-0.467013;0.080253;-4.09842e-07;8.00264e-07;261;2,57412e-11; ;NIE
Rosenbrock;0.5;0.456152;-0.426399;0.774716;-8.911e-07;179;0,619837; ;NIE
Rosenbrock;0.5;0.417593;-0.456208;0.774717;-4.3158e-07;179;0,619837; ;NIE
Rosenbrock;0.5;0.934493;0.7828;0.774716;0.774717;159;1,23967; ;NIE
Rosenbrock;0.5;-0.690106;0.536155;-0.774717;7.17923e-07;141;0,619837; ;NIE
Rosenbrock;0.5;-0.635852;0.85204;9.15597e-07;0.774715;223;0,619837; ;NIE
Rosenbrock;0.5;0.810763;0.748744;0.774716;0.774717;207;1,23967; ;NIE
Rosenbrock;0.5;0.961695;0.571551;0.774716;0.774717;221;1,23967; ;NIE
Rosenbrock;0.5;0.856772;-0.121528;0.774715;6.72264e-07;151;0,619837; ;NIE
Rosenbrock;0.5;-0.567416;-0.818199;-1.69436e-06;-0.774716;193;0,619837; ;NIE
Rosenbrock;0.5;0.260668;-0.195593;0.774715;1.04119e-08;177;0,619837; ;NIE
Rosenbrock;0.5;-0.951033;0.124005;-0.774716;1.59518e-06;217;0,619837; ;NIE
Rosenbrock;0.5;0.911947;0.930598;0.774716;0.774717;173;1,23967; ;NIE
Rosenbrock;0.5;0.148238;-0.784188;-4.59574e-07;-0.774716;167;0,619837; ;NIE
Rosenbrock;0.5;0.665646;-0.481569;0.774718;-1.85226e-07;169;0,619837; ;NIE
Rosenbrock;0.5;-0.35225;0.389174;-2.23673e-07;0.774716;171;0,619837; ;NIE
Rosenbrock;0.5;0.793002;-0.724733;0.774716;-0.774716;103;1,23967; ;NIE
Rosenbrock;0.5;-0.677187;0.727215;-9.65392e-07;0.774714;155;0,619837; ;NIE
Rosenbrock;0.5;-0.468683;0.295612;-8.39332e-07;0.774716;147;0,619837; ;NIE
Rosenbrock;1;0.263543;0.454414;7.60437e-07;-3.70662e-07;221;2,27882e-11; ;NIE
Rosenbrock;1;0.59972;0.0797336;3.6104e-07;-9.24248e-07;215;3,13516e-11; ;NIE
Rosenbrock;1;0.24705;-0.890551;-6.6679e-07;1.02435e-06;213;4,75695e-11; ;NIE
Rosenbrock;1;0.760017;-0.540419;0.774717;-4.01921e-07;93;0,619837; ;NIE
Rosenbrock;1;-0.739445;-0.692109;-6.8051e-07;1.40028e-06;225;7,71823e-11; ;NIE
Rosenbrock;1;-0.569272;0.911991;3.00963e-07;5.44382e-07;235;1,23208e-11; ;NIE
Rosenbrock;1;0.659584;-0.620026;-9.34429e-07;-0.774716;185;0,619837; ;NIE
Rosenbrock;1;-0.272367;-0.668938;0.774716;-0.774717;217;1,23967; ;NIE
Rosenbrock;1;-0.41972;0.405461;3.24023e-07;-1.16776e-07;157;3,77742e-12; ;NIE
Rosenbrock;1;-0.871619;-0.914702;1.83701e-06;5.73964e-07;179;1,17946e-10; ;NIE
Rosenbrock;1;0.794095;-0.204459;0.774714;0.774716;245;1,23967; ;NIE
Rosenbrock;1;0.0522982;-0.862391;-1.77925e-07;-2.86398e-07;227;3,61999e-12; ;NIE
Rosenbrock;1;-0.231463;-0.014313;0.774716;-1.73597e-06;143;0,619837; ;NIE
Rosenbrock;1;0.425067;0.868869;1.55998e-06;0.774715;215;0,619837; ;NIE
Rosenbrock;1;0.371822;-0.15313;1.42287e-07;-1.64682e-06;209;8,70022e-11; ;NIE
Rosenbrock;1;-0.781801;-0.483777;-0.774715;-4.0652e-07;167;0,619837; ;NIE
Rosenbrock;1;-0.0308383;0.249088;1.03005e-06;5.53054e-07;191;4,35247e-11; ;NIE
Rosenbrock;1;-0.792303;0.204506;-0.774716;-6.42556e-07;143;0,619837; ;NIE
Rosenbrock;1;0.327839;0.685905;9.97958e-07;0.774717;243;0,619837; ;NIE
Rosenbrock;1;-0.975386;0.643404;2.69223e-07;-1.00323e-06;201;3,43565e-11; ;NIE
Rosenbrock;1;0.617191;0.431124;4.34217e-07;-1.09391e-06;121;4,41078e-11; ;NIE
Rosenbrock;1;-0.73704;-0.0963607;-0.774716;-4.80529e-07;211;0,619837; ;NIE
Rosenbrock;1;0.763283;-0.203463;0.774715;0.774716;173;1,23967; ;NIE
Rosenbrock;1;-0.224703;-0.970513;0.774716;-4.00897e-08;157;0,619837; ;NIE
Rosenbrock;1;0.281909;-0.163979;1.26908e-06;0.774717;199;0,619837; ;NIE
Rosenbrock;1;0.206505;0.821714;-1.1351e-08;0.774715;221;0,619837; ;NIE
Rosenbrock;1;-0.212631;-0.865804;-1.60867e-06;0.774715;207;0,619837; ;NIE
Rosenbrock;1;-0.146462;-0.704981;5.00949e-07;-0.774717;169;0,619837; ;NIE
Rosenbrock;1;-0.447996;0.826716;0.774715;0.774716;169;1,23967; ;NIE
Rosenbrock;1;-0.853561;-0.528773;0.774715;5.55436e-07;269;0,619837; ;NIE
