Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Hooke-Jeeves;0.1;-0.412775;-0.843242;2.38355e-08;-0.774716;175;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.746912;-0.992932;-0.774716;-0.774716;180;1,23967; ;TAK
Hooke-Jeeves;0.1;0.339587;-0.808277;-2.37136e-07;-0.774716;210;0,619837; ;TAK
Hooke-Jeeves;0.1;0.285241;-0.846387;6.74297e-07;-0.774716;206;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.596774;-0.171232;-0.774716;2.57817e-07;173;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.265102;-0.553314;7.07347e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.314271;-0.244396;2.43967e-07;7.12996e-07;198;1,80829e-11; ;TAK
Hooke-Jeeves;0.1;0.876527;-0.487619;0.774716;-0.774716;192;1,23967; ;TAK
Hooke-Jeeves;0.1;0.695748;0.679323;0.774715;0.774716;158;1,23967; ;TAK
Hooke-Jeeves;0.1;0.236226;0.676824;-2.29627e-07;0.774716;188;0,619837; ;TAK
Hooke-Jeeves;0.1;0.28221;-0.799627;7.1502e-08;-0.774716;191;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.498618;0.029973;-0.774715;1.33493e-07;181;0,619837; ;TAK
Hooke-Jeeves;0.1;0.807609;0.941276;0.774715;0.774716;193;1,23967; ;TAK
Hooke-Jeeves;0.1;0.378037;0.632728;0.774715;0.774716;152;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.426616;-0.607735;-4.71565e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.0488856;0.651614;5.34794e-07;0.774715;159;0,619837; ;TAK
Hooke-Jeeves;0.1;0.92539;-0.199988;0.774715;-2.28778e-07;128;0,619837; ;TAK
Hooke-Jeeves;0.1;0.659218;-0.0131461;0.774716;-6.94187e-07;159;0,619837; ;TAK
Hooke-Jeeves;0.1;0.857634;-0.21798;0.774716;5.55359e-07;173;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.166481;0.14021;4.36871e-07;1.16965e-07;164;6,51301e-12; ;TAK
Hooke-Jeeves;0.1;0.777429;-0.635052;0.774716;-0.774716;160;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.584412;0.817944;-0.774715;0.774716;188;1,23967; ;TAK
Hooke-Jeeves;0.1;0.287507;-0.855796;-2.93035e-07;-0.774715;160;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.0136607;0.868329;5.18867e-07;0.774716;171;0,619837; ;TAK
Hooke-Jeeves;0.1;0.360223;0.51186;-5.50192e-07;0.774716;195;0,619837; ;TAK
Hooke-Jeeves;0.1;0.68928;0.570531;0.774716;0.774715;176;1,23967; ;TAK
Hooke-Jeeves;0.1;0.0145379;0.115878;-6.55013e-07;-6.96543e-07;183;2,91109e-11; ;TAK
Hooke-Jeeves;0.1;-0.64384;-0.286631;-0.774716;3.30174e-07;188;0,619837; ;TAK
Hooke-Jeeves;0.1;0.683828;-0.832439;0.774716;-0.774715;176;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.00851912;-0.550856;-1.34383e-07;-0.774715;183;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.204641;-0.542141;6.00594e-07;-0.774716;174;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.434605;0.0519197;7.23874e-07;1.94224e-07;182;1,78866e-11; ;TAK
Hooke-Jeeves;0.1;0.00421113;-0.806491;-2.9691e-07;-0.774716;160;0,619837; ;TAK
Hooke-Jeeves;0.1;0.931629;0.968007;0.774716;0.774716;171;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.974454;0.0101419;-0.774715;-6.3652e-07;175;0,619837; ;TAK
Hooke-Jeeves;0.1;0.305845;0.579633;-3.77288e-07;0.774715;163;0,619837; ;TAK
Hooke-Jeeves;0.1;0.391305;-0.927358;0.774716;-0.774716;187;1,23967; ;TAK
Hooke-Jeeves;0.1;0.736505;-0.207782;0.774716;-4.38418e-07;158;0,619837; ;TAK
Hooke-Jeeves;0.1;0.306185;-0.74735;-5.26253e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;0.78557;-0.922944;0.774715;-0.774715;160;1,23967; ;TAK
Hooke-Jeeves;0.1;0.0762964;0.690151;-5.52295e-07;0.774715;162;0,619837; ;TAK
Hooke-Jeeves;0.5;0.842735;0.253422;0.774716;0.774715;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.838718;-0.592138;0.774715;0.774715;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.458867;-0.32274;0.774717;9.09696e-08;190;0,619837; ;TAK
Hooke-Jeeves;0.5;0.915802;-0.800278;0.774715;-0.774715;187;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.455629;-0.576867;-8.43285e-08;0.774716;215;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.624595;0.375616;0.774716;0.774715;181;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.469353;0.355403;8.87465e-08;0.774716;176;0,619837; ;TAK
Hooke-Jeeves;0.5;0.63345;0.267986;1.21318e-07;0.774715;176;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.548503;0.118405;0.774716;3.92372e-07;176;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.774982;0.820536;-0.774715;0.774716;179;1,23967; ;TAK
Hooke-Jeeves;0.5;0.106478;0.959707;5.34619e-07;0.774715;191;0,619837; ;TAK
Hooke-Jeeves;0.5;0.689009;-0.309;0.774716;1.54839;197;3,09838; ;TAK
Hooke-Jeeves;0.5;0.527117;-0.396418;-3.52811e-08;-8.29028e-07;192;2,19247e-11; ;TAK
Hooke-Jeeves;0.5;0.868439;-0.933817;0.774715;0.774715;201;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.427356;-0.253355;8.22659e-07;0.774716;207;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.826454;0.479021;-0.774715;0.774715;198;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.972797;0.482451;1.19169e-07;0.774716;198;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.234925;0.346947;-0.774716;0.774715;183;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.776146;-0.273177;-0.774715;1.54839;195;3,09838; ;TAK
Hooke-Jeeves;0.5;0.954402;-0.702899;0.774716;-0.774715;170;1,23967; ;TAK
Hooke-Jeeves;0.5;0.271561;0.36313;0.774716;0.774717;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.229942;-0.751518;1.5484;-0.774717;185;3,09838; ;TAK
Hooke-Jeeves;0.5;-0.725056;-0.743168;-0.774716;-0.774715;170;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.428732;0.00823151;-5.24859e-07;-6.04058e-07;177;2,03908e-11; ;TAK
Hooke-Jeeves;0.5;-0.330228;0.336959;4.02416e-07;0.774716;191;0,619837; ;TAK
Hooke-Jeeves;0.5;0.345814;-0.321379;0.774716;-4.12218e-07;190;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.448494;0.979312;4.30898e-07;0.774716;177;0,619837; ;TAK
Hooke-Jeeves;0.5;0.840299;-0.47717;0.774715;-8.40501e-07;195;0,619837; ;TAK
Hooke-Jeeves;0.5;0.335214;0.907063;0.774717;0.774716;180;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.0645202;-0.870563;-2.75775e-07;-0.774716;167;0,619837; ;TAK
Hooke-Jeeves;0.5;0.912569;-0.689764;0.774716;-0.774715;207;1,23967; ;TAK
Hooke-Jeeves;0.5;0.33765;-0.467228;0.774715;2.53098e-07;145;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.183097;-0.0464529;-0.774715;5.85138e-07;313;0,619837; ;TAK
Hooke-Jeeves;0.5;0.848944;0.609995;0.774716;-6.5793e-08;176;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.550391;-0.178754;0.774715;0.774716;258;1,23967; ;TAK
Hooke-Jeeves;0.5;0.460409;-0.586517;0.774716;0.774715;165;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.519423;-0.645229;0.774715;0.774716;196;1,23967; ;TAK
Hooke-Jeeves;0.5;0.366251;-0.893911;0.774716;-0.774715;185;1,23967; ;TAK
Hooke-Jeeves;0.5;0.519806;0.884362;-3.05304e-07;0.774716;153;0,619837; ;TAK
Hooke-Jeeves;0.5;0.195319;0.144954;1.5484;-8.4409e-07;180;2,47854; ;TAK
Hooke-Jeeves;0.5;-0.637688;-0.339736;0.774715;-6.38272e-07;198;0,619837; ;TAK
Hooke-Jeeves;0.5;0.935822;-0.00233157;0.774716;-7.86348e-07;187;0,619837; ;TAK
Hooke-Jeeves;0.5;0.51064;0.78435;9.06648e-07;0.774716;175;0,619837; ;TAK
Hooke-Jeeves;0.5;0.926967;0.806532;0.774717;0.774716;185;1,23967; ;TAK
Hooke-Jeeves;0.5;0.513031;-0.751101;-3.47283e-07;-0.774716;186;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.179332;-0.429832;0.774716;5.23007e-07;194;0,619837; ;TAK
Hooke-Jeeves;0.5;0.637356;0.815581;-7.50993e-08;0.774716;208;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.825787;-0.190127;-0.774716;-0.774716;201;1,23967; ;TAK
Hooke-Jeeves;0.5;0.560253;0.543321;6.81509e-08;8.69032e-07;167;2,41958e-11; ;TAK
Hooke-Jeeves;0.5;-0.442195;-0.905883;6.80123e-07;0.774716;333;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.852141;-0.253735;-0.774716;0.774715;216;1,23967; ;TAK
Hooke-Jeeves;0.5;0.313812;0.41729;0.774716;0.774716;161;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.594073;0.286033;0.774716;0.774716;200;1,23967; ;TAK
